id,username,name,description,following_count,followers_count,user_char,activity_level_frequency,following_agentid_list,mbti,previous_tweets,tweets_id,activity_level,created_at
12,user12,user_12,"Hi there! I'm John, a 36-year-old ISFJ with a passion for the arts. As a VFX artist, I spend my days crafting visuals that tell stories. When I'm not working, you'll find me exploring urban legends and staying updated on health trends. Let's dive into the world of mystery and well-being together!",0,647,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",[],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
13,user13,user_13,"A dedicated ISTJ with a passion for education and understanding the intricate balance of nature. My days are spent crafting lessons that inspire future leaders, and my nights are filled with the intrigue of natural disasters. Join me on my journey of knowledge and survival!",0,105,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[],ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
14,user14,user_14,"Margaret Thompson, a dedicated ESFJ in her 50s, has spent over two decades ensuring justice and safety in our community. A passionate advocate for both business and education, she believes in the power of knowledge and the importance of ethical leadership. Outside the courtroom, Margaret enjoys reading business strategy books and attending educational seminars. She's an avid learner and a firm believer in lifelong education.",2,139,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","[106, 127]",ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
15,user15,user_15,"Hi there! I'm Alexa, an 18-year-old Health Science enthusiast. As an ESFJ, I'm passionate about helping others and making a positive impact. When I'm not studying or interning at the hospital, you can find me watching the latest business news or binging on my favorite shows. Let's connect and explore the world of health, business, and entertainment together!",1,224,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0]",[142],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
16,user16,user_16,"Hi there! I'm Alexa, a 19-year-old who's all about shaping the future through government and public administration. With an MBTI of ENTJ, I'm known for my strategic thinking and leadership. My interests in politics and business drive me to stay informed about the latest trends and innovations. Let's chat about the world of tomorrow!",1,501,,"[4, 2, 0, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 6, 6, 12, 6, 10, 4, 9, 1, 12]",[96],ENTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
17,user17,user_17,"Health Science enthusiast with a passion for business and education. I'm an INTP who loves exploring the intersection of health, economics, and education to make a positive impact. Outside work, you can find me reading about innovative healthcare solutions and discussing the latest educational trends.",1,6958,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 2, 3, 1, 0, 0, 0, 0, 0, 1]",[128],INTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
18,user18,user_18,"36-year-old tech enthusiast with a keen eye on the intersection of technology and global issues. I'm a firm believer in the power of innovation to shape a peaceful world. When I'm not decoding the latest tech trends, you'll find me pondering the complexities of modern warfare.",1,123,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0]",[148],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
19,user19,user_19,41-year-old manufacturing engineer with a keen interest in the complexities of terrorism and the rapid advancements in science and technology. A self-proclaimed 'problem solver' with a passion for understanding the human condition and the future of our world.,1,5480,,"[20, 14, 11, 7, 20, 37, 3, 7, 0, 0, 0, 0, 0, 2, 2, 0, 3, 3, 7, 1, 7, 1, 8, 18]",[146],ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
20,user20,user_20,"A 27-year-old ISTP in the IT industry, I'm constantly diving into the depths of urban legends and exploring the mysteries of health. When I'm not decoding digital puzzles, you'll find me spinning yarns or researching the human body's wonders. Let's connect over the enigmas of life and tech!",1,82,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[109],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
21,user21,user_21,53-year-old INFP tech wizard and political aficionado. Passionate about harnessing technology to address societal challenges and fascinated by the unpredictable nature of natural disasters.,0,1344,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[],INFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
22,user22,user_22,27-year-old artist and videographer with a passion for storytelling. I capture the raw essence of life through my lens. My interests range from the complexities of terrorism and war to the delicate balance of human health. Let's explore the world together!,1,211,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[122],ESTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
23,user23,user_23,"A 27-year-old ISTP with a passion for agriculture and the environment. I love combining my love for technology with my career in agriculture to innovate the way we grow and consume food. When I'm not farming, I'm either reading up on the latest in science and technology or exploring the health benefits of different foods.",1,126,,"[9, 1, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 3, 0, 2]",[137],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
24,user24,user_24,"Emily Johnson, a seasoned ESFJ in the field of law and public safety, is passionate about making a difference. With over 30 years of experience, she's dedicated to both education and business. When she's not in court, you can find her attending seminars or reading up on the latest in corporate law and educational reforms.",1,6958,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[126],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
25,user25,user_25,"47-year-old ESTJ with a passion for shaping the future through government and public administration. A tech enthusiast at heart, I'm always on the lookout for the latest in Science & Technology and Entertainment to keep the world turning.",1,172,,"[3, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 1, 13, 1, 0, 1]",[104],ESTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
26,user26,user_26,"A health science professional with a penchant for unraveling the mysteries of urban legends and the latest in science & technology. My days are spent in the lab, but my nights are dedicated to the vast world of knowledge and the unknown. 🧪🔬",1,148,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",[99],INFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
27,user27,user_27,"51-year-old finance wizard with a curious mind. Daytime numbers cruncher, nighttime ghost hunter. Love unraveling financial mysteries and the enigmas of urban legends. Keep an eye on my posts for insights and chilling facts!",0,521,,"[3, 3, 4, 1, 3, 1, 0, 1, 2, 1, 0, 0, 0, 0, 2, 17, 1, 2, 2, 0, 0, 3, 0, 0]",[],INTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
28,user28,user_28,"Johnathan R. Miller, a seasoned architect, has dedicated his life to the art of building and the study of human behavior. With a passion for understanding the impact of architecture on society, he's always sought to create spaces that inspire and provoke thought. A self-proclaimed observer of the world, Johnathan finds solace in the complexities of terrorism and war, as well as the ephemeral nature of entertainment. He believes that architecture can be a bridge between the real and the fictional, a testament to the resilience of the human spirit.",2,4336,,"[2, 0, 0, 0, 0, 3, 5, 1, 3, 0, 0, 0, 2, 0, 3, 4, 0, 3, 6, 2, 1, 1, 0, 0]","[130, 127]",ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
29,user29,user_29,"Johnathon, a seasoned hospitality professional, has spent decades weaving tales of the unknown. His passion for urban legends and the mysteries of terrorism & war have led him to countless destinations, each with its own chilling story to tell. Retired from the industry, he now shares his vast knowledge and experiences on his journey through life's many adventures.",1,241,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 0]",[122],ENFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
30,user30,user_30,"Hello, I'm Alexa! A 25-year-old ESFJ in the world of Information Technology. When I'm not coding, I'm either binging on the latest entertainment shows or exploring health and wellness tips. Let's connect and share our passions!",1,5480,,"[9, 1, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 3, 0, 2]",[99],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
31,user31,user_31,"Hi there! I'm Emily, a 21-year-old ISFJ passionate about Government & Public Administration. I'm deeply concerned about terrorism and war, and I believe in the importance of public health. Outside of work, I enjoy reading, volunteering, and exploring new ways to make our world a better place.",1,3471,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[96],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
32,user32,user_32,21-year-old architecture enthusiast with a knack for uncovering urban legends and deciphering the mysteries of natural disasters. Always on the lookout for the next big project!,1,241,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 2, 0, 0, 0, 0, 0, 0]",[25],ENTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
33,user33,user_33,"Hello, I'm Alexa! A 24-year-old ESFJ with a passion for the arts and the power of storytelling. My journey in the world of audio/visual technology has led me to explore the depths of human curiosity and the mysteries of our world. I'm fascinated by urban legends and the stories of terrorism & war, which I believe shed light on the complexities of our society. Let's dive into the unknown together!",1,223,,"[2, 1, 4, 1, 1, 4, 2, 5, 1, 4, 2, 3, 5, 3, 2, 3, 1, 2, 5, 2, 2, 2, 1, 2]",[148],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
34,user34,user_34,Retired government administrator turned advocate for health and education. Passionate about creating a better world through informed policies and community outreach. 🌟💡,1,1721,,"[0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[10],ENFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
35,user35,user_35,A seasoned logistics expert with a passion for the wonders of science and the unpredictable nature of natural disasters. 67 years young and still learning every day!,1,575,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[64],ENTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
36,user36,user_36,34-year-old ISFP attorney with a passion for science and health. Always on the lookout for innovative legal solutions and the latest advancements in tech and wellness. Let's connect over shared interests!,1,61,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[3],ISFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
37,user37,user_37,"Margaret has spent over half a century in the manufacturing industry, where she's seen the evolution of technology firsthand. Her passion for science and technology has never waned, and she's always been fascinated by how innovations in health care can improve lives. When she's not at work, you can find her diving into the latest research on both topics.",1,5480,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[71],ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
38,user38,user_38,"A 33-year-old ENFJ with a passion for agriculture and food. I love nurturing the land and sharing my knowledge. When I'm not in the fields, you can find me exploring the business world and enjoying a good show.",1,523,,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1]",[109],ENFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
39,user39,user_39,"Hello! I'm Emma, a 30-year-old Marketing Specialist with a passion for all things creative and educational. I thrive in social settings and am always eager to learn something new. Whether it's unraveling urban legends or diving into the depths of educational content, I'm always ready for an adventure. Let's connect and share our stories!",0,126,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",[],ESFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
40,user40,user_40,"Hi there! I'm Alexa, a 14-year-old who loves the thrill of transportation and logistics. My days are filled with the buzz of urban legends and the strategies of business. I'm always on the move, exploring new routes and ideas!",0,164,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[],ESTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
41,user41,user_41,Health Science enthusiast with a passion for both business and technology. I believe in using innovative solutions to improve healthcare. Connect with me to discuss the future of medicine and entrepreneurship!,1,1934,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[92],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
42,user42,user_42,"22-year-old ENTP with a passion for technology and politics. I love diving into the latest tech trends and staying informed about the political landscape. When I'm not coding or reading up on policy, you can find me watching the latest sci-fi series or discussing the day's news with my friends.",1,3157,,"[4, 2, 0, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 6, 6, 12, 6, 10, 4, 9, 1, 12]",[137],ENTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
43,user43,user_43,"Emily Hart, a logistics expert with a passion for the world of transportation and distribution. INFJ at heart, she navigates the complexities of logistics with a strategic mind. A politics enthusiast and a tech aficionado, Emily loves exploring how these fields intersect and shape our future.",1,3226,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[137],INFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
44,user44,user_44,"Finance expert with a passion for education. ISFJ at heart, I love helping others grow in their careers and personal lives. Always eager to learn something new!",1,476,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[68],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
45,user45,user_45,29-year-old ISTP with a passion for architecture and construction. Always fascinated by the complexities of terrorism and the unpredictable nature of natural disasters. Let's build and discuss the world around us!,1,20090,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",[3],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
46,user46,user_46,"Retired government official with a passion for learning. My career in public administration has allowed me to explore the intersection of business and technology. Now, I enjoy staying updated with the latest advancements in both fields and sharing my insights with the world.",1,872,,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",[3],ISFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
47,user47,user_47,32-year-old law enthusiast with a passion for unraveling urban legends and the entertainment world. A day doesn't go by without diving into a new mystery or a thrilling plot twist.,1,1447,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 0]",[13],INTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
48,user48,user_48,"Finance enthusiast turned tech hobbyist. ISTP at heart, I'm always curious about how numbers and tech intersect.",1,1158,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[109],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
49,user49,user_49,"22-year-old ISFP artist and videographer with a passion for politics and understanding the complexities of terrorism and war. My lens captures the world's narratives, one frame at a time.",0,443,,"[0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 1, 2, 0, 1, 2, 2, 1, 0, 0]",[],ISFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
50,user50,user_50,23-year-old Information Technology enthusiast with a passion for politics and science. Always exploring the intersection of technology and society.,1,172,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[106],INFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
51,user51,user_51,"Hi there! I'm Emma, a 17-year-old ISTJ with a passion for Business Management & Administration. I love diving into the world of business and staying updated with the latest in Science & Technology. Outside of work, I'm a keen reader and enjoy solving puzzles. Let's connect and share insights!",1,460,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 0]",[128],ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
52,user52,user_52,"Passionate about nurturing both the land and community. As an ENFJ, I'm dedicated to fostering growth and learning in agriculture. My journey began in the heart of the countryside, where I discovered a love for both the art and science of farming. Beyond my profession, I'm captivated by the world of business and the power of education. Let's connect over sustainable practices, innovative ideas, and lifelong learning!",1,822,,"[2, 0, 0, 0, 0, 3, 5, 1, 3, 0, 0, 0, 2, 0, 3, 4, 0, 3, 6, 2, 1, 1, 0, 0]",[106],ENFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
53,user53,user_53,"15-year-old explorer of the unknown. Passionate about education and training, I'm always on the lookout for new urban legends and the latest in science and technology. Let's share the wonders of the world together!",1,254,,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10, 4, 3, 8, 5, 4, 6, 1, 1, 5]",[43],ESFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
54,user54,user_54,"Hello! I'm Olivia, an ISFJ at heart, dedicated to shaping young minds in the field of education and training. I'm passionate about business and health, constantly seeking to improve both my professional and personal life. When I'm not in the classroom, you can find me exploring new business trends or staying active to maintain a healthy lifestyle. Let's connect and share insights!",0,350,,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 1, 1, 2, 0, 0, 0]",[],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
55,user55,user_55,34-year-old Manufacturing Engineer turned Natural Disaster Enthusiast. Passionate about understanding the science behind Earth's unpredictable forces. Also a strong advocate for education and its transformative power.,2,1158,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","[10, 148]",ESTP,"['vladimir putin’s motorcade as seen from the air.']",[],"[""off_line""] * 24",2021-01-01 00:00:00
56,user56,user_56,"63-year-old marketing veteran with a keen eye on the political landscape. A lifelong learner, I've navigated the ever-evolving world of marketing while staying grounded in the complexities of politics and the impact of terrorism & war on society.",1,1158,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",[129],ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
57,user57,user_57,"33-year-old logistics expert with a passion for the world of entertainment and the fascinating dynamics of natural disasters. Always on the move, exploring new horizons both professionally and personally.",0,1529,,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 1, 2, 4, 3, 4, 1, 1, 3, 2, 0, 3]",[],ENTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
58,user58,user_58,"51-year-old legal eagle with a passion for both law and business. A lifelong learner, I'm always on the lookout for new insights in education and the corporate world. Outside the courtroom, I'm a tech enthusiast and a dedicated community volunteer.",1,1449,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[137],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
59,user59,user_59,Health Science enthusiast with a passion for exploring the latest in Science & Technology and keeping up with the entertainment world. Always on the lookout for innovative solutions to improve healthcare.,1,5336,,"[0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[148],ESTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
60,user60,user_60,"29-year-old marketing wizard with a heart for entertainment and a thirst for knowledge. When I'm not spreading the word about the latest trends, you'll find me binging on documentaries or attending film festivals. Let's connect over the magic of storytelling and learning!",1,1054,,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0]",[106],ESFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
61,user61,user_61,"A lifelong advocate for peace and justice, Alexandra Winters has dedicated her career to the intricate world of Government & Public Administration. With a mind that thrives on innovation and a spirit that seeks understanding, she navigates the complexities of politics and the challenges of terrorism & war. Outside the realm of policy, she finds solace in the arts and literature, believing that creativity can bridge divides and foster empathy.",0,822,,"[9, 1, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 3, 0, 2]",[],ENTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
62,user62,user_62,"A 39-year-old ENFJ in the world of Business Management & Administration. Passionate about understanding the complexities of Terrorism & War, and advocating for better education systems. Always seeking harmony in a chaotic world.",1,182,,"[0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[57],ENFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
63,user63,user_63,"Johnathan Miller, a dedicated Business Management & Administration professional with a heart for public service. A self-proclaimed ISFJ, he values order and harmony in all aspects of life. When not at work, Johnathan is an avid follower of politics and keeps himself informed about the latest natural disasters to stay prepared and support his community.",1,518,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",[122],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
64,user64,user_64,18-year-old ISFP with a passion for manufacturing and a love for the arts. I spend my days crafting intricate metal sculptures and my nights diving into the world of entertainment and education. Always looking to learn something new and create something beautiful.,0,556,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[],ISFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
